"IANA_Name","Win_DisplayName","Daylight_Start","Daylight_End","Offset"
"Africa/El_Aaiun","(UTC+01:00) Casablanca","At 03:00 on Sunday,Week 5 of Mar (2015)","At 04:00 on Sunday,Week 5 of Oct (2015)","01:00:00"
"Africa/El_Aaiun","(UTC+01:00) Casablanca","At 03:00 on Sunday,Week 5 of Mar (2016)","At 04:00 on Sunday,Week 5 of Oct (2016)","01:00:00"
"Africa/El_Aaiun","(UTC+01:00) Casablanca","At 03:00 on Sunday,Week 5 of Mar (2017)","At 04:00 on Sunday,Week 5 of Oct (2017)","01:00:00"
"Africa/El_Aaiun","(UTC+01:00) Casablanca","At 03:00 on Sunday,Week 5 of May (2009)","At 04:00 on Thursday,Week 3 of Aug (2009)","01:00:00"
"Africa/El_Aaiun","(UTC+01:00) Casablanca","At 03:00 on Sunday,Week 5 of May (2020)","At 04:00 on Sunday,Week 3 of Apr (2020)","01:00:00"
"Africa/Freetown","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Gaborone","(UTC+02:00) Harare, Pretoria",,,
"Africa/Harare","(UTC+02:00) Harare, Pretoria",,,
"Africa/Johannesburg","(UTC+02:00) Harare, Pretoria",,,
"Africa/Juba","(UTC+03:00) Nairobi",,,
"Africa/Kampala","(UTC+03:00) Nairobi",,,
"Africa/Khartoum","(UTC+02:00) Khartoum","At 03:00 on Sunday,Week 1 of Jan (0001)","At 04:00 on Sunday,Week 1 of Jan (2016)","00:00:00"
"Africa/Khartoum","(UTC+02:00) Khartoum","At 03:00 on Sunday,Week 1 of Jan (2017)","At 04:00 on Tuesday,Week 5 of Oct (2017)","01:00:00"
"Africa/Kigali","(UTC+02:00) Harare, Pretoria",,,
"Africa/Kinshasa","(UTC+01:00) West Central Africa",,,
"Africa/Lagos","(UTC+01:00) West Central Africa",,,
"Africa/Libreville","(UTC+01:00) West Central Africa",,,
"Africa/Lome","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Luanda","(UTC+01:00) West Central Africa",,,
"Africa/Lubumbashi","(UTC+02:00) Harare, Pretoria",,,
"Africa/Lusaka","(UTC+02:00) Harare, Pretoria",,,
"Africa/Malabo","(UTC+01:00) West Central Africa",,,
"Africa/Maputo","(UTC+02:00) Harare, Pretoria",,,
"Africa/Maseru","(UTC+02:00) Harare, Pretoria",,,
"Africa/Mbabane","(UTC+02:00) Harare, Pretoria",,,
"Africa/Mogadishu","(UTC+03:00) Nairobi",,,
"Africa/Monrovia","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Nairobi","(UTC+03:00) Nairobi",,,
"Africa/Ndjamena","(UTC+01:00) West Central Africa",,,
"Africa/Niamey","(UTC+01:00) West Central Africa",,,
"Africa/Nouakchott","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Ouagadougou","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Porto-Novo","(UTC+01:00) West Central Africa",,,
"Africa/Sao_Tome","(UTC+00:00) Sao Tome","At 03:00 on Monday,Week 1 of Jan (2018)","At 04:00 on Monday,Week 1 of Jan (2018)","-01:00:00"
"Africa/Sao_Tome","(UTC+00:00) Sao Tome","At 03:00 on Tuesday,Week 1 of Jan (2019)","At 04:00 on Tuesday,Week 1 of Jan (2019)","01:00:00"
"Africa/Tripoli","(UTC+02:00) Tripoli","At 03:00 on Friday,Week 5 of Mar (2013)","At 04:00 on Tuesday,Week 1 of Jan (2013)","01:00:00"
"Africa/Tripoli","(UTC+02:00) Tripoli","At 03:00 on Sunday,Week 1 of Jan (2012)","At 04:00 on Saturday,Week 2 of Nov (2012)","01:00:00"
"Africa/Tunis","(UTC+01:00) West Central Africa",,,
"Africa/Windhoek","(UTC+02:00) Windhoek","At 03:00 on Sunday,Week 1 of Sep (0001)","At 04:00 on Sunday,Week 1 of Apr (2017)","01:00:00"
"America/Adak","(UTC-10:00) Aleutian Islands","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Adak","(UTC-10:00) Aleutian Islands","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Anchorage","(UTC-09:00) Alaska","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Anchorage","(UTC-09:00) Alaska","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Anguilla","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Antigua","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Araguaina","(UTC-03:00) Araguaina","At 03:00 on Sunday,Week 3 of Oct (2012)","At 04:00 on Sunday,Week 1 of Jan (2012)","01:00:00"
"America/Araguaina","(UTC-03:00) Araguaina","At 03:00 on Tuesday,Week 1 of Jan (2013)","At 04:00 on Saturday,Week 3 of Feb (2013)","01:00:00"
