"IANA_Name","Win_DisplayName","Daylight_Start","Daylight_End","Offset"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 2 of Oct (2017)","At 04:00 on Saturday,Week 3 of Feb (2017)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2009)","At 04:00 on Saturday,Week 2 of Feb (2009)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2010)","At 04:00 on Saturday,Week 3 of Feb (2010)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2011)","At 04:00 on Saturday,Week 3 of Feb (2011)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2012)","At 04:00 on Saturday,Week 4 of Feb (2012)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2013)","At 04:00 on Saturday,Week 3 of Feb (2013)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2014)","At 04:00 on Saturday,Week 3 of Feb (2014)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2015)","At 04:00 on Saturday,Week 3 of Feb (2015)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2016)","At 04:00 on Saturday,Week 3 of Feb (2016)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Sunday,Week 1 of Nov (2006)","At 04:00 on Saturday,Week 3 of Feb (2006)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Sunday,Week 2 of Oct (2007)","At 04:00 on Saturday,Week 5 of Feb (2007)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Sunday,Week 3 of Oct (2005)","At 04:00 on Saturday,Week 3 of Feb (2005)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Sunday,Week 3 of Oct (2008)","At 04:00 on Saturday,Week 3 of Feb (2008)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Tuesday,Week 1 of Jan (2019)","At 04:00 on Sunday,Week 3 of Feb (2019)","01:00:00"
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Tuesday,Week 1 of Nov (0001)","At 04:00 on Thursday,Week 1 of Jan (2004)","01:00:00"
"America/Curacao","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Dawson_Creek","(UTC-07:00) Arizona",,,
"America/Denver","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Denver","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Detroit","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Detroit","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Dominica","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Edmonton","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Edmonton","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Eirunepe","(UTC-05:00) Bogota, Lima, Quito, Rio Branco",,,
"America/El_Salvador","(UTC-06:00) Central America",,,
"America/Fort_Nelson","(UTC-07:00) Arizona",,,
"America/Fortaleza","(UTC-03:00) Cayenne, Fortaleza",,,
"America/Glace_Bay","(UTC-04:00) Atlantic Time (Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Glace_Bay","(UTC-04:00) Atlantic Time (Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 4 of Mar (2007)","At 04:00 on Saturday,Week 5 of Oct (2007)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 4 of Mar (2012)","At 04:00 on Saturday,Week 5 of Oct (2012)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 4 of Mar (2018)","At 04:00 on Saturday,Week 5 of Oct (2018)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (0001)","At 04:00 on Saturday,Week 5 of Oct (2004)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2005)","At 04:00 on Saturday,Week 5 of Oct (2005)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2006)","At 04:00 on Saturday,Week 5 of Oct (2006)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2008)","At 04:00 on Saturday,Week 5 of Oct (2008)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2009)","At 04:00 on Saturday,Week 4 of Oct (2009)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2010)","At 04:00 on Saturday,Week 5 of Oct (2010)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2011)","At 04:00 on Saturday,Week 5 of Oct (2011)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2013)","At 04:00 on Saturday,Week 5 of Oct (2013)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2014)","At 04:00 on Saturday,Week 5 of Oct (2014)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2015)","At 04:00 on Saturday,Week 4 of Oct (2015)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2016)","At 04:00 on Saturday,Week 5 of Oct (2016)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2017)","At 04:00 on Saturday,Week 5 of Oct (2017)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2019)","At 04:00 on Saturday,Week 5 of Oct (2019)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2020)","At 04:00 on Saturday,Week 4 of Oct (2020)","01:00:00"
"America/Godthab","(UTC-03:00) Greenland","At 03:00 on Saturday,Week 5 of Mar (2021)","At 04:00 on Saturday,Week 5 of Oct (9999)","01:00:00"
"America/Goose_Bay","(UTC-04:00) Atlantic Time (Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Goose_Bay","(UTC-04:00) Atlantic Time (Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Grand_Turk","(UTC-05:00) Turks and Caicos","At 03:00 on Sunday,Week 1 of Jan (2016)","At 04:00 on Sunday,Week 1 of Jan (2016)","00:00:00"
"America/Grand_Turk","(UTC-05:00) Turks and Caicos","At 03:00 on Sunday,Week 1 of Jan (2017)","At 04:00 on Sunday,Week 1 of Jan (2017)","00:00:00"
"America/Grand_Turk","(UTC-05:00) Turks and Caicos","At 03:00 on Sunday,Week 2 of Mar (0001)","At 04:00 on Sunday,Week 1 of Nov (2014)","01:00:00"
"America/Grand_Turk","(UTC-05:00) Turks and Caicos","At 03:00 on Sunday,Week 2 of Mar (2015)","At 04:00 on Thursday,Week 1 of Jan (2015)","01:00:00"
"America/Grand_Turk","(UTC-05:00) Turks and Caicos","At 03:00 on Sunday,Week 2 of Mar (2018)","At 04:00 on Sunday,Week 1 of Nov (2018)","01:00:00"
"America/Grand_Turk","(UTC-05:00) Turks and Caicos","At 03:00 on Sunday,Week 2 of Mar (2019)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Grenada","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Guadeloupe","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Guatemala","(UTC-06:00) Central America",,,
"America/Guayaquil","(UTC-05:00) Bogota, Lima, Quito, Rio Branco",,,
"America/Guyana","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Halifax","(UTC-04:00) Atlantic Time (Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Halifax","(UTC-04:00) Atlantic Time (Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2003)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 1 of Apr (2012)","At 04:00 on Sunday,Week 1 of Nov (2012)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 1 of Jan (2005)","At 04:00 on Sunday,Week 1 of Jan (2005)","00:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 1 of Jan (2006)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 5 of Oct (2007)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 2 of Mar (2009)","At 04:00 on Sunday,Week 5 of Oct (2009)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 2 of Mar (2010)","At 04:00 on Sunday,Week 5 of Oct (2010)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 2 of Mar (2013)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 3 of Mar (2008)","At 04:00 on Sunday,Week 5 of Oct (2008)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 3 of Mar (2011)","At 04:00 on Sunday,Week 2 of Nov (2011)","01:00:00"
"America/Havana","(UTC-05:00) Havana","At 03:00 on Sunday,Week 5 of Mar (2004)","At 04:00 on Thursday,Week 1 of Jan (2004)","01:00:00"
"America/Hermosillo","(UTC-07:00) Arizona",,,
"America/Indiana/Indianapolis","(UTC-05:00) Indiana (East)","At 03:00 on Sunday,Week 1 of Apr (2006)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Indiana/Indianapolis","(UTC-05:00) Indiana (East)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Indiana/Vincennes","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Indiana/Vincennes","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Inuvik","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Inuvik","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Iqaluit","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Iqaluit","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Jamaica","(UTC-05:00) Bogota, Lima, Quito, Rio Branco",,,
"America/Juneau","(UTC-09:00) Alaska","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Juneau","(UTC-09:00) Alaska","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Kentucky/Louisville","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Kentucky/Louisville","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Kralendijk","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/La_Paz","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Lima","(UTC-05:00) Bogota, Lima, Quito, Rio Branco",,,
"America/Los_Angeles","(UTC-08:00) Pacific Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Los_Angeles","(UTC-08:00) Pacific Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Lower_Princes","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Maceio","(UTC-03:00) Cayenne, Fortaleza",,,
"America/Managua","(UTC-06:00) Central America",,,
"America/Manaus","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Martinique","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Matamoros","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Matamoros","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Mazatlan","(UTC-07:00) Chihuahua, La Paz, Mazatlan","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (9999)","01:00:00"
"America/Menominee","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Menominee","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Merida","(UTC-06:00) Guadalajara, Mexico City, Monterrey","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (9999)","01:00:00"
"America/Metlakatla","(UTC-09:00) Alaska","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Metlakatla","(UTC-09:00) Alaska","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Mexico_City","(UTC-06:00) Guadalajara, Mexico City, Monterrey","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (9999)","01:00:00"
"America/Miquelon","(UTC-03:00) Saint Pierre and Miquelon","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Miquelon","(UTC-03:00) Saint Pierre and Miquelon","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Moncton","(UTC-04:00) Atlantic Time (Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Moncton","(UTC-04:00) Atlantic Time (Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Monterrey","(UTC-06:00) Guadalajara, Mexico City, Monterrey","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (9999)","01:00:00"
"America/Montevideo","(UTC-03:00) Montevideo","At 03:00 on Sunday,Week 1 of Oct (0001)","At 04:00 on Sunday,Week 2 of Mar (2014)","01:00:00"
"America/Montevideo","(UTC-03:00) Montevideo","At 03:00 on Thursday,Week 1 of Jan (2015)","At 04:00 on Sunday,Week 2 of Mar (2015)","01:00:00"
"America/Montserrat","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Nassau","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Nassau","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/New_York","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/New_York","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Nome","(UTC-09:00) Alaska","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Nome","(UTC-09:00) Alaska","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Noronha","(UTC-02:00) Coordinated Universal Time-02",,,
"America/Ojinaga","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Ojinaga","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Panama","(UTC-05:00) Bogota, Lima, Quito, Rio Branco",,,
"America/Pangnirtung","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Pangnirtung","(UTC-05:00) Eastern Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Paramaribo","(UTC-03:00) Cayenne, Fortaleza",,,
"America/Phoenix","(UTC-07:00) Arizona",,,
"America/Port_of_Spain","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Port-au-Prince","(UTC-05:00) Haiti","At 03:00 on Saturday,Week 1 of Apr (0001)","At 04:00 on Saturday,Week 5 of Oct (2006)","01:00:00"
"America/Port-au-Prince","(UTC-05:00) Haiti","At 03:00 on Sunday,Week 2 of Mar (2012)","At 04:00 on Sunday,Week 1 of Nov (2012)","01:00:00"
"America/Port-au-Prince","(UTC-05:00) Haiti","At 03:00 on Sunday,Week 2 of Mar (2013)","At 04:00 on Sunday,Week 1 of Nov (2013)","01:00:00"
"America/Port-au-Prince","(UTC-05:00) Haiti","At 03:00 on Sunday,Week 2 of Mar (2014)","At 04:00 on Sunday,Week 1 of Nov (2014)","01:00:00"
"America/Port-au-Prince","(UTC-05:00) Haiti","At 03:00 on Sunday,Week 2 of Mar (2015)","At 04:00 on Sunday,Week 1 of Nov (2015)","01:00:00"
"America/Port-au-Prince","(UTC-05:00) Haiti","At 03:00 on Sunday,Week 2 of Mar (2017)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Porto_Velho","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Puerto_Rico","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Punta_Arenas","(UTC-03:00) Punta Arenas","At 03:00 on Saturday,Week 1 of Sep (2012)","At 04:00 on Saturday,Week 5 of Apr (2012)","01:00:00"
"America/Punta_Arenas","(UTC-03:00) Punta Arenas","At 03:00 on Saturday,Week 1 of Sep (2013)","At 04:00 on Saturday,Week 5 of Apr (2013)","01:00:00"
"America/Punta_Arenas","(UTC-03:00) Punta Arenas","At 03:00 on Saturday,Week 1 of Sep (2014)","At 04:00 on Saturday,Week 5 of Apr (2014)","01:00:00"
"America/Punta_Arenas","(UTC-03:00) Punta Arenas","At 03:00 on Saturday,Week 2 of Aug (2016)","At 04:00 on Saturday,Week 2 of May (2016)","01:00:00"
"America/Punta_Arenas","(UTC-03:00) Punta Arenas","At 03:00 on Saturday,Week 2 of Oct (0001)","At 04:00 on Saturday,Week 2 of Mar (2007)","01:00:00"
"America/Punta_Arenas","(UTC-03:00) Punta Arenas","At 03:00 on Saturday,Week 2 of Oct (2008)","At 04:00 on Saturday,Week 5 of Mar (2008)","01:00:00"
"America/Punta_Arenas","(UTC-03:00) Punta Arenas","At 03:00 on Saturday,Week 2 of Oct (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Punta_Arenas","(UTC-03:00) Punta Arenas","At 03:00 on Saturday,Week 2 of Oct (2010)","At 04:00 on Saturday,Week 1 of Apr (2010)","01:00:00"
"America/Punta_Arenas","(UTC-03:00) Punta Arenas","At 03:00 on Saturday,Week 3 of Aug (2011)","At 04:00 on Saturday,Week 1 of May (2011)","01:00:00"
"America/Rankin_Inlet","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Rankin_Inlet","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Recife","(UTC-03:00) Cayenne, Fortaleza",,,
"America/Regina","(UTC-06:00) Saskatchewan",,,
"America/Resolute","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Resolute","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Rio_Branco","(UTC-05:00) Bogota, Lima, Quito, Rio Branco",,,
"America/Santarem","(UTC-03:00) Cayenne, Fortaleza",,,
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 1 of Sep (2012)","At 04:00 on Saturday,Week 5 of Apr (2012)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 1 of Sep (2013)","At 04:00 on Saturday,Week 5 of Apr (2013)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 1 of Sep (2014)","At 04:00 on Saturday,Week 5 of Apr (2014)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 1 of Sep (2019)","At 04:00 on Saturday,Week 1 of Apr (9999)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 2 of Aug (2016)","At 04:00 on Saturday,Week 2 of May (2016)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 2 of Aug (2017)","At 04:00 on Saturday,Week 2 of May (2017)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 2 of Aug (2018)","At 04:00 on Saturday,Week 2 of May (2018)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 2 of Oct (0001)","At 04:00 on Saturday,Week 2 of Mar (2007)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 2 of Oct (2008)","At 04:00 on Saturday,Week 5 of Mar (2008)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 2 of Oct (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 2 of Oct (2010)","At 04:00 on Saturday,Week 1 of Apr (2010)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Saturday,Week 3 of Aug (2011)","At 04:00 on Saturday,Week 1 of May (2011)","01:00:00"
"America/Santiago","(UTC-04:00) Santiago","At 03:00 on Sunday,Week 1 of Jan (2015)","At 04:00 on Sunday,Week 1 of Jan (2015)","00:00:00"
"America/Santo_Domingo","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 1 of Nov (2018)","At 04:00 on Saturday,Week 3 of Feb (2018)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 2 of Oct (2017)","At 04:00 on Saturday,Week 3 of Feb (2017)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 3 of Oct (2009)","At 04:00 on Saturday,Week 2 of Feb (2009)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 3 of Oct (2010)","At 04:00 on Saturday,Week 3 of Feb (2010)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 3 of Oct (2011)","At 04:00 on Saturday,Week 3 of Feb (2011)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 3 of Oct (2012)","At 04:00 on Saturday,Week 4 of Feb (2012)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 3 of Oct (2013)","At 04:00 on Saturday,Week 3 of Feb (2013)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 3 of Oct (2014)","At 04:00 on Saturday,Week 3 of Feb (2014)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 3 of Oct (2015)","At 04:00 on Saturday,Week 3 of Feb (2015)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Saturday,Week 3 of Oct (2016)","At 04:00 on Saturday,Week 3 of Feb (2016)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Sunday,Week 1 of Nov (2006)","At 04:00 on Saturday,Week 3 of Feb (2006)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Sunday,Week 2 of Oct (2007)","At 04:00 on Saturday,Week 5 of Feb (2007)","01:00:00"
"America/Sao_Paulo","(UTC-03:00) Brasilia","At 03:00 on Sunday,Week 3 of Oct (2005)","At 04:00 on Saturday,Week 3 of Feb (2005)","01:00:00"
